displayName,description,datatype,patientAttribute,priority,clinicalAttributeId,studyId
Relapse Free Status,Relapse Free Status,STRING,True,1,RFS_STATUS,bowel_colitis_msk_2022
Salicylates,Salicylates,STRING,True,1,SALICYLATES,bowel_colitis_msk_2022
Number of Samples Per Patient,Number of Samples Per Patient,STRING,True,1,SAMPLE_COUNT,bowel_colitis_msk_2022
Sample coverage,Sample coverage,NUMBER,False,1,SAMPLE_COVERAGE,bowel_colitis_msk_2022
Sample Type,"The type of sample (i.e., normal, primary, met, recurrence).",STRING,False,1,SAMPLE_TYPE,bowel_colitis_msk_2022
Sex,Sex,STRING,True,1,SEX,bowel_colitis_msk_2022
Somatic Status,Somatic Status,STRING,False,1,SOMATIC_STATUS,bowel_colitis_msk_2022
Special Histology,Special Histology,STRING,False,1,SPECIAL_HISTOLOGY,bowel_colitis_msk_2022
Specimen Preservation Type,The method used for preparing the tissue for examination and study.,STRING,False,1,SPECIMEN_PRESERVATION_TYPE,bowel_colitis_msk_2022
Stage at Diagnosis,Stage At Diagnosis,STRING,True,1,STAGE_AT_DIAGNOSIS,bowel_colitis_msk_2022
Steroids (Yes/No),Steroids (Yes/No),STRING,True,1,STEROIDS,bowel_colitis_msk_2022
Tissue Sequenced,Tissue Sequenced,STRING,False,1,TISSUE_SEQUENCED,bowel_colitis_msk_2022
TMB (nonsynonymous),TMB (nonsynonymous),NUMBER,False,1,TMB_NONSYNONYMOUS,bowel_colitis_msk_2022
TNF (Yes/No),TNF (Yes/No),STRING,True,1,TNF,bowel_colitis_msk_2022
Tumor Purity,Tumor Purity,NUMBER,False,1,TUMOR_PURITY,bowel_colitis_msk_2022
Patient's Vital Status,The survival state of the person.,STRING,True,1,VITAL_STATUS,bowel_colitis_msk_2022
Vital Status Code,Vital Status Code,STRING,True,1,VITAL_STATUS_CODE,bowel_colitis_msk_2022
