displayName,description,datatype,patientAttribute,priority,clinicalAttributeId,studyId
Kras gene analysis indicator,Kras gene analysis indicator,STRING,True,1,KRAS_GENE_ANALYSIS_INDICATOR,coadread_tcga
KRAS Mutation,KRAS mutation is present.,STRING,True,1,KRAS_MUTATION,coadread_tcga
Longest Dimension,Longest dimension of the sample measured in millimeters,NUMBER,False,1,LONGEST_DIMENSION,coadread_tcga
Lymphovascular invasion indicator,Lymphovascular invasion indicator,STRING,True,1,LYMPHOVASCULAR_INVASION_INDICATOR,coadread_tcga
Primary Lymph Node Presentation Assessment Ind-3,the yes/no/unknown indicator whether a lymph node assessment was performed at the primary presentation of disease.,STRING,True,1,LYMPH_NODES_EXAMINED,coadread_tcga
Positive Finding Lymph Node Hematoxylin and Eosin Staining Microscopy Count,Numeric value to signify the count of positive lymph nodes identified through hematoxylin and eosin (H&E) staining light microscopy.,NUMBER,True,1,LYMPH_NODES_EXAMINED_HE_COUNT,coadread_tcga
Positive Finding Lymph Node Keratin Immunohistochemistry Staining Method Count,"Numeric value to signify the count of positive lymph nodes identified through keratin immunohistochemistry (IHC) staining method,",NUMBER,True,1,LYMPH_NODES_EXAMINED_IHC_COUNT,coadread_tcga
Lymph Node(s) Examined Number,The total number of lymph nodes removed and pathologically assessed for disease.,NUMBER,True,1,LYMPH_NODE_EXAMINED_COUNT,coadread_tcga
First Pathologic Diagnosis Biospecimen Acquisition Method Type,Text name of the procedure to secure the tissue used for the original pathologic diagnosis.,STRING,False,1,METHOD_OF_SAMPLE_PROCUREMENT,coadread_tcga
Mutation Count,Mutation Count,NUMBER,False,30,MUTATION_COUNT,coadread_tcga
New Neoplasm Event Post Initial Therapy Indicator,Yes/No/Unknown indicator to identify whether a patient has had a new tumor event after initial treatment.,STRING,True,1,NEW_TUMOR_EVENT_AFTER_INITIAL_TREATMENT,coadread_tcga
Oct embedded,Oct embedded,STRING,False,1,OCT_EMBEDDED,coadread_tcga
Oncotree Code,Oncotree code,STRING,False,1,ONCOTREE_CODE,coadread_tcga
Overall Survival (Months),Overall survival in months since initial diagonosis.,NUMBER,True,1,OS_MONTHS,coadread_tcga
Overall Survival Status,Overall patient survival status.,STRING,True,1,OS_STATUS,coadread_tcga
Specimen Collection Method,The type of procedure or method used to collect the specimen.,STRING,False,1,OTHER_METHOD_OF_SAMPLE_PROCUREMENT,coadread_tcga
Other Patient ID,Legacy DMP patient identifier (DMPnnnn),STRING,True,1,OTHER_PATIENT_ID,coadread_tcga
Other Sample ID,Legacy DMP sample identifier (DMPnnnn),STRING,False,1,OTHER_SAMPLE_ID,coadread_tcga
Pathology Report File Name,Pathology Report File Name,STRING,False,1,PATHOLOGY_REPORT_FILE_NAME,coadread_tcga
Pathology report uuid,Pathology report uuid,STRING,False,1,PATHOLOGY_REPORT_UUID,coadread_tcga
Perineural Invasion,Perineural invasion.,STRING,True,1,PERINEURAL_INVASION,coadread_tcga
Adjuvant Postoperative Pharmaceutical Therapy Administered Indicator,Indicator to signify whether or not whether the patient had adjuvant/post-operative pharmaceutical therapy.,STRING,True,1,PHARMACEUTICAL_TX_ADJUVANT,coadread_tcga
Patient Primary Tumor Site,Text term to describe the organ sub-division in an individual with cancer.,STRING,True,1,PRIMARY_SITE_PATIENT,coadread_tcga
Project code,Project code,STRING,True,1,PROJECT_CODE,coadread_tcga
Tissue Prospective Collection Indicator,"Text indicator for the time frame of tissue procurement, indicating that the tissue was procured in parallel to the project.",STRING,True,1,PROSPECTIVE_COLLECTION,coadread_tcga
Race Category,The text for reporting information about race.,STRING,True,1,RACE,coadread_tcga
Did patient start adjuvant postoperative radiotherapy?,A yes/no indicator that asks whether the patient started adjuvant postoperative radiotherapy.,STRING,True,1,RADIATION_TREATMENT_ADJUVANT,coadread_tcga
Surgical Margin Resection Status,Text terms to describe the status of a tissue margin following surgical resection.,STRING,True,1,RESIDUAL_TUMOR,coadread_tcga
Tissue Retrospective Collection Indicator,"Text indicator for the time frame of tissue procurement, indicating that the tissue was obtained and stored prior to the initiation of the project.",STRING,True,1,RETROSPECTIVE_COLLECTION,coadread_tcga
Number of Samples Per Patient,Number of Samples Per Patient,STRING,True,1,SAMPLE_COUNT,coadread_tcga
Sample Initial Weight,Sample Initial Weight,NUMBER,False,1,SAMPLE_INITIAL_WEIGHT,coadread_tcga
Sample Type,"The type of sample (i.e., normal, primary, met, recurrence).",STRING,False,1,SAMPLE_TYPE,coadread_tcga
Sample type id,Sample type id,STRING,False,1,SAMPLE_TYPE_ID,coadread_tcga
Sex,Sex,STRING,True,1,SEX,coadread_tcga
Shortest Dimension,Shortest Dimension,NUMBER,False,1,SHORTEST_DIMENSION,coadread_tcga
Tumor Tissue Site,Text term that describes the anatomic site of the tumor or disease.,STRING,True,1,SITE_OF_TUMOR_TISSUE,coadread_tcga
Somatic Status,Somatic Status,STRING,False,1,SOMATIC_STATUS,coadread_tcga
Specimen Current Weight,The weight of the specimen.,STRING,False,1,SPECIMEN_CURRENT_WEIGHT,coadread_tcga
Specimen Freezing Means,The method used to freeze the tissue after removal from the patient.,STRING,False,1,SPECIMEN_FREEZING_METHOD,coadread_tcga
Specimen Second Longest Dimension,The second longest dimension of the specimen.,NUMBER,False,1,SPECIMEN_SECOND_LONGEST_DIMENSION,coadread_tcga
Stage Other,Stage Other,STRING,True,1,STAGE_OTHER,coadread_tcga
Time between clamping and freezing,Time between clamping and freezing,STRING,False,1,TIME_BETWEEN_CLAMPING_AND_FREEZING,coadread_tcga
Time between excision and freezing,Time between excision and freezing,STRING,False,1,TIME_BETWEEN_EXCISION_AND_FREEZING,coadread_tcga
Tissue Source Site,"A Tissue Source Site collects samples (tissue, cell, or blood) and cliincal metadata which are then sent to tha Biospecimen Core Resource.",STRING,True,1,TISSUE_SOURCE_SITE,coadread_tcga
TMB (nonsynonymous),TMB (nonsynonymous),NUMBER,False,1,TMB_NONSYNONYMOUS,coadread_tcga
Primary Therapy Outcome Success Type,Text term for the measure of success of outcome after primary treatment (surgery and adjuvant therapies).,STRING,True,1,TREATMENT_OUTCOME_FIRST_COURSE,coadread_tcga
Person Neoplasm Status,The state or condition of an individual's neoplasm at a particular point in time.,STRING,True,1,TUMOR_STATUS,coadread_tcga
Vascular invasion indicator,Vascular invasion indicator,STRING,True,1,VASCULAR_INVASION_INDICATOR,coadread_tcga
Vial number,Vial number,STRING,False,1,VIAL_NUMBER,coadread_tcga
Patient Weight,Weight measured in kilograms.,NUMBER,True,1,WEIGHT,coadread_tcga
