id	filename	md5	size	state
df3708ed-f6bd-464a-9717-360ab5877e10	TCGA-AA-A00J-01Z-00-DX1.BA85D337-6687-44A6-A8DD-0CE889134BA0.svs	7ed512b7f933e751bbcd8848a00724b0	1927041470	released
8dc9441e-aa26-4718-bee4-77b28f1a401a	TCGA-AD-5900-01Z-00-DX1.ff1dbf00-d9c5-45a2-9732-07b46f4e1471.svs	d124f266cf49558c8a2fe639d4bb2fe5	89411607	released
2fcfc546-8fa2-4f4f-92e1-12b4f6434a51	TCGA-CK-6746-01Z-00-DX1.0aae8eec-1e82-494b-8779-d79fea8bec0c.svs	d65b76a220e98802b5928fc387086f11	696389971	released
0b9fadfc-f3ba-4af2-899c-bf804369fd55	TCGA-A6-A567-01Z-00-DX1.F941874E-9BF7-4E8B-908C-41A638D62275.svs	a66099fb106c5d9c7b38d2d876a2e972	850944145	released
ae63964e-1799-4c8e-ad46-09707f1fcae8	TCGA-AA-3527-01Z-00-DX1.20035f6a-71f8-4d1f-a356-64001be9c2dd.svs	e34e7c35389d51dd615be34e48cdaf51	227398282	released
3bc2da63-a087-43d6-ba3f-37544dc6a2ac	TCGA-AG-3583-01Z-00-DX1.7f30dd92-a80b-4090-82ca-7ea8e0a14094.svs	8ba91e046a7d7c73b0290da3fe879d83	353309624	released
f51f1618-a90f-461e-9f55-b0a1f91c9350	TCGA-AG-3593-01Z-00-DX1.d3086414-77f4-483f-bac8-d7cb29a0689e.svs	dd7d4abc61938b6af0af7a31812f8583	720828756	released
18b6f428-76dc-41e9-b1de-dc3a4afd4f7b	TCGA-CL-5918-01Z-00-DX1.c3bac47e-2737-419a-ab97-5d3f923f8986.svs	7df6fa374c4a54fa8b5a280b49143d34	858206149	released
675fc406-3949-4456-bf24-1bcacd22b24f	TCGA-DM-A1D0-01Z-00-DX1.1EE92F9A-3DAA-4C1E-9A17-F9E0D31BE0C1.svs	cbc25bd0d61bb7861fe3e42e15035e58	1447014483	released
92c8a9e2-6ad5-4c1b-b18d-d6f43332e4dd	TCGA-EI-6917-01Z-00-DX1.ed5d8898-159f-48e5-b004-e390cb059944.svs	f8f01a1908499f30a0078ae9b752ebe9	150416807	released
df076968-bcb9-4d39-918d-a6775020cd60	TCGA-F4-6855-01Z-00-DX1.41ed5985-be19-4dce-aab6-de3be0f1dcca.svs	428da2ad4faa0da19c59baf59d115432	129167575	released
103810e8-c721-4242-b729-270097a23469	TCGA-A6-5665-01Z-00-DX1.3ad2c249-d138-4037-a59b-4747ce2b789a.svs	73157eae5c5559cc546e475af4ad3af7	168725275	released
8db3d085-f23d-4270-a52a-cbf1e6296381	TCGA-AA-3864-01Z-00-DX1.f6992bc7-ba05-4c30-9500-8f7b07b30f9a.svs	d4b91ecc26276d57c2fefff788ec3322	258401346	released
dcbe590f-5960-402f-a095-d9be5ac773e8	TCGA-D5-6928-01Z-00-DX1.f8a8fb91-c23e-418e-b9a3-500af1402ce1.svs	df4429cf8352e45b5e5e120f778fb35a	127650421	released
9becaa03-ad09-4190-b4ff-d0e13a13c46e	TCGA-EI-6882-01Z-00-DX1.b4b4638d-be05-453a-9028-de170db5b51e.svs	b72edf22157089d2b5853ae4c85bdd58	323123119	released
f94393a0-f0a4-44bb-9350-417c63cba839	TCGA-AA-3685-01Z-00-DX1.57ef312b-70e0-46f5-b847-0e0ac32f1824.svs	96bb87adb252d2b7d2f1f16133807d87	339477890	released
