displayName,description,datatype,patientAttribute,priority,clinicalAttributeId,studyId
Mutation Count,Mutation Count,NUMBER,False,30,MUTATION_COUNT,coadread_tcga_pan_can_atlas_2018
New Neoplasm Event Post Initial Therapy Indicator,Yes/No/Unknown indicator to identify whether a patient has had a new tumor event after initial treatment.,STRING,True,1,NEW_TUMOR_EVENT_AFTER_INITIAL_TREATMENT,coadread_tcga_pan_can_atlas_2018
Oncotree Code,Oncotree Code,STRING,False,1,ONCOTREE_CODE,coadread_tcga_pan_can_atlas_2018
Overall Survival (Months),Overall survival in months since initial diagonosis.,NUMBER,True,1,OS_MONTHS,coadread_tcga_pan_can_atlas_2018
Overall Survival Status,Overall patient survival status.,STRING,True,9,OS_STATUS,coadread_tcga_pan_can_atlas_2018
Other Patient ID,Legacy DMP patient identifier (DMPnnnn),STRING,True,1,OTHER_PATIENT_ID,coadread_tcga_pan_can_atlas_2018
American Joint Committee on Cancer Metastasis Stage Code,"Code to represent the defined absence or presence of distant spread or metastases (M) to locations via vascular channels or lymphatics beyond the regional lymph nodes, using criteria established by the American Joint Committee on Cancer (AJCC).",STRING,True,1,PATH_M_STAGE,coadread_tcga_pan_can_atlas_2018
Neoplasm Disease Lymph Node Stage American Joint Committee on Cancer Code,The codes that represent the stage of cancer based on the nodes present (N stage) according to criteria based on multiple editions of the AJCC's Cancer Staging Manual.,STRING,True,1,PATH_N_STAGE,coadread_tcga_pan_can_atlas_2018
American Joint Committee on Cancer Tumor Stage Code,"Code of pathological T (primary tumor) to define the size or contiguous extension of the primary tumor (T), using staging criteria from the American Joint Committee on Cancer (AJCC).",STRING,True,1,PATH_T_STAGE,coadread_tcga_pan_can_atlas_2018
Person Neoplasm Cancer Status,Person neoplasm cancer status.,STRING,True,1,PERSON_NEOPLASM_CANCER_STATUS,coadread_tcga_pan_can_atlas_2018
Progress Free Survival (Months),Progress Free Survival (Months),NUMBER,True,1,PFS_MONTHS,coadread_tcga_pan_can_atlas_2018
Progression Free Status,Progression Free Status,STRING,True,1,PFS_STATUS,coadread_tcga_pan_can_atlas_2018
Primary Lymph Node Presentation Assessment,Primary lymph node presentation assessment.,STRING,True,1,PRIMARY_LYMPH_NODE_PRESENTATION_ASSESSMENT,coadread_tcga_pan_can_atlas_2018
Prior Diagnosis,Prior diagnosis.,STRING,True,1,PRIOR_DX,coadread_tcga_pan_can_atlas_2018
Race Category,The text for reporting information about race.,STRING,True,1,RACE,coadread_tcga_pan_can_atlas_2018
Radiation Therapy,Radiation Therapy.,STRING,True,1,RADIATION_THERAPY,coadread_tcga_pan_can_atlas_2018
Ragnum Hypoxia Score,mRNA based Ragnum Hypoxia Score,NUMBER,True,1,RAGNUM_HYPOXIA_SCORE,coadread_tcga_pan_can_atlas_2018
Number of Samples Per Patient,Number of Samples Per Patient,STRING,True,1,SAMPLE_COUNT,coadread_tcga_pan_can_atlas_2018
Sample Type,"The type of sample (i.e., normal, primary, met, recurrence).",STRING,False,9,SAMPLE_TYPE,coadread_tcga_pan_can_atlas_2018
Sex,Sex,STRING,True,1,SEX,coadread_tcga_pan_can_atlas_2018
Somatic Status,Somatic Status,STRING,False,1,SOMATIC_STATUS,coadread_tcga_pan_can_atlas_2018
Subtype,Subtype,STRING,True,1,SUBTYPE,coadread_tcga_pan_can_atlas_2018
Tumor Break Load,"The sum of unbalanced somatic chromosomal breaks per tumor sample (Lakbir et al., Eur J Cancer 2022; Data from new manuscript in progress)",NUMBER,False,1,TBL_SCORE,coadread_tcga_pan_can_atlas_2018
Tissue Prospective Collection Indicator,Tissue prospective collection indicator.,STRING,False,1,TISSUE_PROSPECTIVE_COLLECTION_INDICATOR,coadread_tcga_pan_can_atlas_2018
Tissue Retrospective Collection Indicator,Tissue retrospective collection indicator.,STRING,False,1,TISSUE_RETROSPECTIVE_COLLECTION_INDICATOR,coadread_tcga_pan_can_atlas_2018
Tissue Source Site,"A Tissue Source Site collects samples (tissue, cell, or blood) and cliincal metadata which are then sent to tha Biospecimen Core Resource.",STRING,False,1,TISSUE_SOURCE_SITE,coadread_tcga_pan_can_atlas_2018
Tissue Source Site Code,Tissue Source Site Code,STRING,False,1,TISSUE_SOURCE_SITE_CODE,coadread_tcga_pan_can_atlas_2018
TMB (nonsynonymous),TMB (nonsynonymous),NUMBER,False,1,TMB_NONSYNONYMOUS,coadread_tcga_pan_can_atlas_2018
Tumor Disease Anatomic Site,Text term that describes the anatomic site of the tumor or disease.,STRING,False,1,TUMOR_TISSUE_SITE,coadread_tcga_pan_can_atlas_2018
Tumor Type,Tumor Type,STRING,False,1,TUMOR_TYPE,coadread_tcga_pan_can_atlas_2018
Patient Weight,Weight measured in kilograms.,NUMBER,True,1,WEIGHT,coadread_tcga_pan_can_atlas_2018
Winter Hypoxia Score,mRNA based Winter Hypoxia Score,NUMBER,True,1,WINTER_HYPOXIA_SCORE,coadread_tcga_pan_can_atlas_2018
